Data For Node Id: 1
Block Id:1, Parent ID:None, Miner ID:None, Txns:0, Time:0
Block Id:3, Parent ID:1, Miner ID:1, Txns:1, Time:825.6385594350575
Block Id:16, Parent ID:3, Miner ID:1, Txns:1, Time:1149.8157252566434
Block Id:4, Parent ID:1, Miner ID:2, Txns:1, Time:1003.9852137990491
Block Id:6, Parent ID:1, Miner ID:4, Txns:1, Time:1106.5689478463464
Block Id:28, Parent ID:3, Miner ID:8, Txns:1, Time:1328.4791887916285
Block Id:22, Parent ID:6, Miner ID:4, Txns:1, Time:1305.7779901065678
Block Id:55, Parent ID:28, Miner ID:8, Txns:1, Time:1573.5455471377418
Block Id:71, Parent ID:55, Miner ID:8, Txns:1, Time:1976.052564097783
Block Id:86, Parent ID:71, Miner ID:8, Txns:2, Time:2150.1426711425224
Block Id:97, Parent ID:86, Miner ID:8, Txns:3, Time:2392.105786985226
Block Id:120, Parent ID:97, Miner ID:8, Txns:1, Time:3133.9537003987184
Block Id:140, Parent ID:120, Miner ID:8, Txns:1, Time:3205.6488593858285
Block Id:147, Parent ID:140, Miner ID:8, Txns:2, Time:3502.4752763810575
Block Id:161, Parent ID:140, Miner ID:9, Txns:1, Time:3474.182215762536
Block Id:166, Parent ID:161, Miner ID:9, Txns:3, Time:3979.5990796913907
Block Id:204, Parent ID:166, Miner ID:1, Txns:2, Time:6194.861720235751
Block Id:213, Parent ID:204, Miner ID:0, Txns:7, Time:7078.951903308615
Block Id:228, Parent ID:213, Miner ID:4, Txns:17, Time:8032.597036529821
Block Id:239, Parent ID:228, Miner ID:4, Txns:3, Time:9456.793131469662
