Data For Node Id: 4
Block Id:1, Parent ID:None, Miner ID:None, Txns:0, Time:0
Block Id:7, Parent ID:1, Miner ID:5, Txns:1, Time:582.6748051146337
Block Id:12, Parent ID:7, Miner ID:5, Txns:1, Time:709.9398166198232
Block Id:4, Parent ID:1, Miner ID:2, Txns:1, Time:760.7105927732273
Block Id:29, Parent ID:12, Miner ID:2, Txns:1, Time:3165.0968631941346
Block Id:39, Parent ID:29, Miner ID:2, Txns:2, Time:4840.3008850445
Block Id:65, Parent ID:39, Miner ID:2, Txns:4, Time:5156.134753136164
Block Id:97, Parent ID:65, Miner ID:1, Txns:2, Time:6477.599924712194
Block Id:102, Parent ID:65, Miner ID:7, Txns:1, Time:6487.464462699693
Block Id:104, Parent ID:102, Miner ID:7, Txns:19, Time:6820.238927180816
Block Id:146, Parent ID:104, Miner ID:2, Txns:2, Time:7146.272752362914
Block Id:171, Parent ID:146, Miner ID:5, Txns:2, Time:8518.559123863995
Block Id:215, Parent ID:171, Miner ID:1, Txns:2, Time:8854.71109949174
Block Id:249, Parent ID:215, Miner ID:4, Txns:3, Time:8912.697441366978
Block Id:296, Parent ID:249, Miner ID:2, Txns:3, Time:9608.7989906007
Block Id:307, Parent ID:296, Miner ID:2, Txns:3, Time:9909.420074326128
